packet_id,super_state,mc_state,ctrl_mode,rpm,accel_avg,accel_mad,iq_avg,iq_mad,iq_target,id_avg,id_min,id_max,if_avg,if_mad,field_pwm_avg,field_pwm_mad,vbus_avg,vbus_min,vbus_max,duty_avg,duty_max,if_min,stator_fw_id,speed_target,speed_i_term,i_bus
1795,0,0,2,-0.00338845,2.921742678,76.23744202,5.61E-45,1.12E-44,5.61E-45,-5.61E-45,0,0,0.001729181,0.001327717,5.61E-45,1.12E-44,13.58561707,13.57535839,13.58993626,0.014822892,0.015483633,0,0,4800,0,5.61E-45
1796,0,0,2,0.077871695,7.54259634,62.35478592,5.61E-45,1.12E-44,5.61E-45,-5.61E-45,0,0,0.002347901,0.001932637,5.61E-45,1.12E-44,13.58674526,13.57806683,13.59288692,0.014638698,0.015919821,0,0,4800,0,5.61E-45
1797,0,0,2,0.068171918,10.81808376,62.52248764,5.61E-45,1.12E-44,5.61E-45,-5.61E-45,0,0,0.001437627,0.001705031,5.61E-45,1.12E-44,13.58847809,13.58418083,13.59806252,0.014748798,0.015764514,0,0,4800,0,5.61E-45
1798,0,0,2,-0.025943231,-11.32848835,112.2619324,5.61E-45,1.12E-44,5.61E-45,-5.61E-45,0,0,0.004019691,0.003114277,5.61E-45,1.12E-44,13.58722878,13.58360958,13.59189415,0.014825491,0.016110575,0,0,4800,0,5.61E-45
1799,0,0,2,-0.09634494,-18.65140724,180.9667816,5.61E-45,1.12E-44,5.61E-45,-5.61E-45,0,0,0.002699243,0.002819698,5.61E-45,1.12E-44,13.58725166,13.58320808,13.59227371,0.014692244,0.015682032,0,0,4800,0,5.61E-45
1800,0,0,2,-0.001300444,-4.701574802,162.1506348,5.61E-45,1.12E-44,5.61E-45,-5.61E-45,0,0,0.001911401,0.001447588,5.61E-45,1.12E-44,13.58732605,13.58135128,13.59093189,0.014570577,0.015909629,0,0,4800,0,5.61E-45
1801,0,0,2,-0.063951492,-11.5845089,103.3280029,5.61E-45,1.12E-44,5.61E-45,-5.61E-45,0,0,0.002430069,0.002148722,5.61E-45,1.12E-44,13.58617878,13.58241367,13.59121227,0.014493129,0.015648264,0,0,4800,0,5.61E-45
1802,0,0,2,0.095468223,6.788119793,73.54787445,5.61E-45,1.12E-44,5.61E-45,-5.61E-45,0,0,0.00301458,0.002062364,5.61E-45,1.12E-44,13.5851469,13.57610416,13.59202003,0.014575362,0.015542398,0,0,4800,0,5.61E-45
1803,0,0,2,-0.151109591,-16.84136391,57.18909454,5.61E-45,1.12E-44,5.61E-45,-5.61E-45,0,0,0.001998753,0.00187917,5.61E-45,1.12E-44,13.58482552,13.57951641,13.59045029,0.014756256,0.015962986,0,0,4800,0,5.61E-45
1804,0,0,2,0.054069307,11.43490887,81.11463928,5.61E-45,1.12E-44,5.61E-45,-5.61E-45,0,0,0.002777505,0.002402231,5.61E-45,1.12E-44,13.58610153,13.58241558,13.59002018,0.014618862,0.016101899,0,0,4800,0,5.61E-45
1805,0,0,2,-0.112402685,-10.56182384,151.8265991,5.61E-45,1.12E-44,5.61E-45,-5.61E-45,0,0,0.003129401,0.001989221,5.61E-45,1.12E-44,13.58595181,13.58079624,13.5890789,0.014698586,0.01594617,0,0,4800,0,5.61E-45
1806,3,0,2,6.405395031,258.8297424,84.62438202,5.61E-45,1.12E-44,5.61E-45,-5.61E-45,0,0,0.241123959,0.098462872,0.864914834,0.256661803,13.58611488,13.58307362,13.5892334,0.012136946,0.014465855,0.010861418,0,4800,0,5.61E-45
1807,3,0,2,9.560328484,153.2910461,52.7439003,5.61E-45,1.12E-44,5.61E-45,-5.61E-45,0,0,0.420427829,0.078384757,0.983576834,0.064050466,13.58440495,13.58103657,13.59001827,0.012161143,0.012705426,0.352745444,0,4800,0,5.61E-45
1808,3,0,2,11.14925861,75.38663483,38.18688965,5.61E-45,1.12E-44,5.61E-45,-5.61E-45,0,0,0.552287221,0.060015984,0.998003423,0.011780323,13.58216763,13.57776928,13.58620644,0.012157287,0.013078538,0.496116161,0,4800,0,5.61E-45
1809,3,0,2,11.64290905,29.26027679,20.41946411,5.61E-45,1.12E-44,5.61E-45,-5.61E-45,0,0,0.659070611,0.048805248,0.99975729,0.001917663,13.58247185,13.57862759,13.5887537,0.012611157,0.014116825,0.610812485,0,4800,0,5.61E-45
1810,3,0,2,11.42504978,-7.426613331,17.71546173,5.61E-45,1.12E-44,5.61E-45,-5.61E-45,0,0,0.756113052,0.042667545,0.999970496,0.000292152,13.58055973,13.57746887,13.58393478,0.012240705,0.013018223,0.718891442,0,4800,0,5.61E-45
1811,3,0,2,10.74180889,-34.40681076,15.10318565,5.61E-45,1.12E-44,5.61E-45,-5.61E-45,0,0,0.841583908,0.038252108,0.999996424,4.26991E-05,13.58089256,13.58068657,13.5833931,0.012316315,0.013030625,0.802708387,0,4800,0,5.61E-45
